"Component Name","Designator","Quantity","Manufacturer"
"Резистор 0805-10 кОм ±5%","R21","1",""
"Резистор 0805-10 кОм ±5%","R28","1",""
"Резистор 0805-10 кОм ±5%","R29","1",""
"Резистор 0805-10 кОм ±5%","R35","1",""
"Резистор 0805-10 кОм ±5%","R36","1",""
"Резистор 0805-10 кОм ±5%","R42","1",""
"Резистор 0805-30 Ом ±5%","R50","1",""
"Резистор 0805-51 Ом ±5%","R2","1",""
"Резистор 0805-100 Ом ±5%","R16","1",""
"Резистор 0805-100 Ом ±5%","R18","1",""
"Резистор 0805-100 Ом ±5%","R22","1",""
"Резистор 0805-100 Ом ±5%","R23","1",""
"Резистор 0805-100 Ом ±5%","R24","1",""
"Резистор 0805-100 Ом ±5%","R26","1",""
"Резистор 0805-100 Ом ±5%","R30","1",""
"Резистор 0805-100 Ом ±5%","R31","1",""
"Резистор 0805-100 Ом ±5%","R32","1",""
"Резистор 0805-100 Ом ±5%","R33","1",""
"Резистор 0805-100 Ом ±5%","R38","1",""
"Резистор 0805-100 Ом ±5%","R39","1",""
"Резистор 0805-100 Ом ±5%","R40","1",""
"Резистор 0805-100 Ом ±5%","R44","1",""
"Резистор 0805-100 Ом ±5%","R45","1",""
"Резистор 0805-100 Ом ±5%","R47","1",""
"Резистор 1206-1 кОм ±5%","R25","1",""
"Резистор 1206-1 кОм ±5%","R27","1",""
"Резистор 1206-1 кОм ±5%","R34","1",""
"Резистор 1206-1 кОм ±5%","R37","1",""
"Резистор 1206-1 кОм ±5%","R41","1",""
"Резистор 1206-1 кОм ±5%","R43","1",""
"Резистор 1206-1 кОм ±5%","R46","1",""
"Резистор 1206-1 кОм ±5%","R48","1",""
"Резистор 1206-1 кОм ±5%","R49","1",""
"Резонатор Q 25.0JXS63-12-30/30-FU","ZQ1","1","Jauch Quartz GmbH"
"Твердотельный накопитель Kingspec SSD NE-128 2280","A2","1",""
"Фильтр BNX028-01","DA20","1","Murata Electronics"
"Фильтр BNX028-01","DA21","1","Murata Electronics"
"Фильтр ферритовый ILBB0805ER601V","L2","1","Vishay"
"Фильтр ферритовый ILBB0805ER601V","L6","1","Vishay"
"Фильтр ферритовый ILBB0805ER601V","L7","1","Vishay"
"Фильтр ферритовый ILBB0805ER601V","L8","1","Vishay"
"Фильтр ферритовый ILBB0805ER601V","L9","1","Vishay"
"Фильтр ферритовый ILBB0805ER601V","L10","1","Vishay"
